ダウンロード実行日,2026年08月08日現在,件数,6369件
ファンドコード,証券コード,ファンド名,ファンド名（ヨミ）,特定有価証券区分名,特定期1,特定期2,ＥＤＩＮＥＴコード,発行者名
"G01455","","三菱ＵＦＪ　バリューオープン","ミツビシユーエフジェイ　バリューオープン","内国投資信託受益証券","9月25日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01456","","三井住友・年金プラン３０　三井住友・年金プラン５０　三井住友・年金プラン７０","ミツイスミトモネンキンプランサンジュウ　ミツイスミトモネンキンプランゴジュウ　ミツイスミトモネンキンプランナナジュウ","内国投資信託受益証券","3月6日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G01461","","スパークス・ジャパン・スモール・キャップ・ファンド","スパークス　ジャパン　スモール　キャップ　ファンド","内国投資信託受益証券","10月15日","","E11161","スパークス・アセット・マネジメント株式会社"
"G01465","","三菱ＵＦＪ　日本株アクティブ・ファンド","ミツビシユーエフジェイニホンカブアクティブファンド","内国投資信託受益証券","10月30日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01499","","米国ＮＡＳＤＡＱオープン　Ａコース、米国ＮＡＳＤＡＱオープン　Ｂコース","ベイコクナスダックオープン　エーコース　ベイコクナスダックオープン　ビーコース","内国投資信託受益証券","5月28日","11月28日","E12460","野村アセットマネジメント株式会社"
"G01500","","日興アクティブ・ダイナミクス","ニッコウアクティブダイナミクス","内国投資信託受益証券","12月14日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G01514","","ＡＬＡＭＣＯ　日経平均ファンド","アラムコニッケイヘイキンファンド","内国投資信託受益証券","11月15日","","E12447","朝日ライフ　アセットマネジメント株式会社"
"G01518","","三菱ＵＦＪ　ＭＶ２０　三菱ＵＦＪ　ＭＶ４０　三菱ＵＦＪ　ＭＶ８０","ミツビシユーエフジェイエムヴイニジュウミツビシユーエフジェイエムヴイヨンジュウミツビシユーエフジェイエムヴイハチジュウ","内国投資信託受益証券","12月12日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01521","","バランス物語３０（安定型）、バランス物語５０（安定・成長型）、バランス物語７０（成長型）","バランスモノガタリサンジュウ　アンテイガタ　バランスモノガタリゴジュウ　アンテイセイチョウガタ　バランスモノガタリナナジュウ　セイチョウガタ","内国投資信託受益証券","2月25日","8月25日","E10677","アセットマネジメントＯｎｅ株式会社"
"G01537","","［アバディーン・ファンド・セレクション］海外高格付け債ファンド　Ｂコース（為替ヘッジなし）","アバディーン　ファンド　セレクション　カイガイコウカクヅケサイファンド　ビーコース　カワセヘッジナシ","内国投資信託受益証券","6月10日","12月10日","E08163","アバディーン・ジャパン株式会社"
"G01542","","アバディーン・ジャパン・オープン","アバディーン　ジャパン　オープン","内国投資信託受益証券","3月17日","9月17日","E08163","アバディーン・ジャパン株式会社"
"G01552","","ＪＰＭアジア・成長株・ファンド","ジェイピーエムアジアセイチョウカブファンド","内国投資信託受益証券","1月18日","7月18日","E06264","ＪＰモルガン・アセット・マネジメント株式会社"
"G01557","","ＪＰＭグローバル・ＣＢ・オープン’９５","ジェイピーエムグローバルシービーオープンキュウジュウゴ","内国投資信託受益証券","1月30日","7月30日","E06264","ＪＰモルガン・アセット・マネジメント株式会社"
"G01561","","ＪＰＭ中小型株オープン","ジェイピーエムチュウコガタカブオープン","内国投資信託受益証券","4月20日","10月20日","E06264","ＪＰモルガン・アセット・マネジメント株式会社"
"G01563","","ＪＰＭグレーター・チャイナ・オープン","ジェイピーエムグレーターチャイナオープン","内国投資信託受益証券","4月24日","10月24日","E06264","ＪＰモルガン・アセット・マネジメント株式会社"
"G01565","","ＪＰＭ日本株・アクティブ・オープン","ジェイピーエムニホンカブアクティブオープン","内国投資信託受益証券","9月10日","","E06264","ＪＰモルガン・アセット・マネジメント株式会社"
"G01569","","ＪＰＭアジア株・アクティブ・オープン","ジェイピーエムアジアカブアクティブオープン","内国投資信託受益証券","5月15日","11月15日","E06264","ＪＰモルガン・アセット・マネジメント株式会社"
"G01571","","損保ジャパン日本株オープン","ソンポジャパンニホンカブオープン","内国投資信託受益証券","7月15日","","E12434","ＳＯＭＰＯアセットマネジメント株式会社"
"G01613","","ニッセイ／パトナム・インカムオープン","ニッセイパトナムインカムオープン","内国投資信託受益証券","4月15日","10月15日","E12453","ニッセイアセットマネジメント株式会社"
"G01621","","ハイブリッド・セレクション","ハイブリッドセレクション","内国投資信託受益証券","2月17日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G01625","","グローバル・ボンド・ポート（Ｃコース）","グローバルボンドポート　シーコース","内国投資信託受益証券","3月20日","9月20日","E10677","アセットマネジメントＯｎｅ株式会社"
"G01626","","グローバル・ボンド・ポート（Ｄコース）","グローバルボンドポート　ディーコース","内国投資信託受益証券","9月20日","3月20日","E10677","アセットマネジメントＯｎｅ株式会社"
"G01629","","ドルマネーファンド","ドルマネーファンド","内国投資信託受益証券","9月10日","3月12日","E10677","アセットマネジメントＯｎｅ株式会社"
"G01630","","日経２２５ノーロードオープン","ニッケイニーニーゴノーロードオープン","内国投資信託受益証券","8月10日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G01631","","Ｏｎｅジャパン・セレクション","ワンジャパンセレクション","内国投資信託受益証券","3月17日","9月17日","E10677","アセットマネジメントＯｎｅ株式会社"
